path	class	feature_ownership_proof	upstream_touch_conflict_status	current_loc_growth	recommendation
src/config/sessions/types.ts	A	present at d9623bd46f3; net feature-side overlay +45/-2 across 7 hunks (export function mergeSessionEntry(;export type SessionEntry = {;export type SessionEntryMergePolicy = "touch-activity" | "preserve-activity";)	35fb5ee81ac6 touched by 1 commit(s), +2/-5; same named symbol(s); no conflict	864 LOC; +43 vs ratchet baseline 821	No refactor; preserve upstream topology.
packages/agent-core/src/harness/types.ts	A	present at d9623bd46f3; net feature-side overlay +2/-0 across 1 hunks (export interface AgentHarnessStreamOptions {)	35fb5ee81ac6 touched by 1 commit(s), +7/-13; neighboring/top-level symbols; no conflict	844 LOC; +2 vs ratchet baseline 842	No refactor; preserve upstream topology.
src/tasks/task-flow-registry.ts	A	present at d9623bd46f3; net feature-side overlay +11/-0 across 5 hunks (export function createFlowRecord(params: CreateFlowRecordParams): TaskFlowRecord;function buildFlowRecord(params: CreateFlowRecordParams): TaskFlowRecord {;function normalizeRestoredFlowRecord(record: TaskFlowRecord): TaskFlowRecord {)	35fb5ee81ac6 touched by 1 commit(s), +2/-2; same named symbol(s); no conflict	841 LOC; +11 vs ratchet baseline 830	No refactor; preserve upstream topology.
src/logging/diagnostic-stability.ts	A	present at d9623bd46f3; net feature-side overlay +46/-0 across 6 hunks (export type DiagnosticStabilityEventRecord = {;function assignReasonCode(;function sanitizeDiagnosticEvent(event: DiagnosticEventPayload): DiagnosticStabi)	35fb5ee81ac6 unchanged; no conflict	837 LOC; +46 vs ratchet baseline 791	No refactor; preserve upstream topology.
tsdown.config.ts	A	present at d9623bd46f3; net feature-side overlay +7/-0 across 2 hunks (function buildCoreDistEntries(): Record<string, string> {)	35fb5ee81ac6 touched by 2 commit(s), +6/-30; neighboring/top-level symbols; no conflict	823 LOC; +7 vs ratchet baseline 816	No refactor; preserve upstream topology.
src/process/command-queue.ts	A	present at d9623bd46f3; net feature-side overlay +112/-0 across 12 hunks (export function clearCommandLane(lane: string = CommandLane.Main) {;export function resetAllLanes(): void {;export function resetCommandLane(lane: string = CommandLane.Main): number {)	35fb5ee81ac6 unchanged; no conflict	812 LOC; +112 vs ratchet baseline 700	No refactor; preserve upstream topology.
src/agents/openclaw-tools.ts	A	present at d9623bd46f3; net feature-side overlay +99/-5 across 15 hunks (export function createOpenClawTools(;let openClawToolsDeps: OpenClawToolsDeps = defaultOpenClawToolsDeps;)	35fb5ee81ac6 touched by 1 commit(s), +9/-15; same named symbol(s); no conflict	806 LOC; +94 vs ratchet baseline 712	No refactor; preserve upstream topology.
scripts/protocol-gen-swift.ts	A	present at d9623bd46f3; net feature-side overlay +5/-1 across 2 hunks (async function generate() {)	35fb5ee81ac6 unchanged; no conflict	740 LOC; +4 vs ratchet baseline 736	No refactor; preserve upstream topology.
src/status/status-text.ts	A	present at d9623bd46f3; net feature-side overlay +47/-0 across 5 hunks (export async function buildStatusText(params: BuildStatusTextParams): Promise<st;export function resolveStatusChannelFeatureLine(params: {)	35fb5ee81ac6 unchanged; no conflict	713 LOC; +47 vs ratchet baseline 666	No refactor; preserve upstream topology.
src/gateway/server-restart-sentinel.ts	A	present at d9623bd46f3; net feature-side overlay +33/-3 across 9 hunks (async function deliverQueuedSessionDelivery(params: {;function buildQueuedRestartContinuation(params: {;function enqueueRestartSentinelWake()	35fb5ee81ac6 unchanged; no conflict	704 LOC; +30 vs ratchet baseline 674	No refactor; preserve upstream topology.
src/agents/tool-display-config.ts	A	present at d9623bd46f3; net feature-side overlay +15/-0 across 1 hunks (export const TOOL_DISPLAY_CONFIG: ToolDisplayConfig = {)	35fb5ee81ac6 unchanged; no conflict	680 LOC; +15 vs ratchet baseline 665	No refactor; preserve upstream topology.
src/config/types.agent-defaults.ts	A	present at d9623bd46f3; net feature-side overlay +65/-0 across 1 hunks (export type AgentDefaultsConfig = {)	35fb5ee81ac6 unchanged; no conflict	671 LOC; +65 vs ratchet baseline 606	No refactor; preserve upstream topology.
src/auto-reply/tokens.ts	A	present at d9623bd46f3; net feature-side overlay +312/-0 across 3 hunks (export const SILENT_REPLY_TOKEN = "NO_REPLY";;export function isSilentReplyPrefixText()	35fb5ee81ac6 unchanged; no conflict	644 LOC; ratchet baseline-missing, but d962 path is 332 LOC (+312)	Pending GitNexus owner-boundary decision.
src/infra/http-body.ts	A	present at d9623bd46f3; net feature-side overlay +3/-0 across 1 hunks (async function readResponsePrefix()	35fb5ee81ac6 unchanged; no conflict	607 LOC; +3 vs ratchet baseline 604	No refactor; preserve upstream topology.
src/agents/cli-runner/helpers.ts	A	present at d9623bd46f3; net feature-side overlay +2/-0 across 1 hunks (export function buildCliAgentSystemPrompt(params: {)	35fb5ee81ac6 unchanged; no conflict	598 LOC; +2 vs ratchet baseline 596	No refactor; preserve upstream topology.
src/infra/outbound/message.ts	A	present at d9623bd46f3; net feature-side overlay +2/-0 across 1 hunks (type MessageSendParams = {)	35fb5ee81ac6 unchanged; no conflict	596 LOC; +2 vs ratchet baseline 594	No refactor; preserve upstream topology.
extensions/codex/src/app-server/dynamic-tool-execution.ts	A	present at d9623bd46f3; net feature-side overlay +10/-7 across 5 hunks (export async function handleDynamicToolCallWithTimeout(params: {)	35fb5ee81ac6 touched by 1 commit(s), +5/-5; neighboring/top-level symbols; no conflict	586 LOC; +3 vs ratchet baseline 583	No refactor; preserve upstream topology.
src/agents/subagent-registry-queries.ts	A	present at d9623bd46f3; net feature-side overlay +49/-1 across 3 hunks (export function isSubagentSessionRunActiveFromRuns(;export function resolveRequesterForChildSessionFromRuns()	35fb5ee81ac6 unchanged; no conflict	580 LOC; +48 vs ratchet baseline 532	No refactor; preserve upstream topology.
src/agents/agent-tools.policy.ts	A	present at d9623bd46f3; net feature-side overlay +5/-0 across 2 hunks (const SUBAGENT_TOOL_DENY_LEAF = [)	35fb5ee81ac6 unchanged; no conflict	535 LOC; +5 vs ratchet baseline 530	No refactor; preserve upstream topology.
src/auto-reply/reply/no-op-rearm-guard.ts	B	absent at d9623bd46f3; candidate adds +526/-0 across 1 hunks (top-level/imports)	35fb5ee81ac6 unchanged; no conflict	526 LOC; new path (ratchet baseline-missing)	Pending GitNexus owner-boundary decision.
src/agents/shell-snapshot.ts	A	present at d9623bd46f3; net feature-side overlay +3/-2 across 2 hunks (function buildCaptureShellArgs(shellName: string, shellArgs: string[]): string[];function buildStartupSourceScript(shellName: string): string {)	35fb5ee81ac6 unchanged; no conflict	504 LOC; +1 vs ratchet baseline 503	No refactor; preserve upstream topology.

