path	frozen_audit_class	loc_reason	base_loc	candidate_loc	delta	current_upstream_status	disposition	rationale_and_evidence
src/agents/embedded-agent-runner/compact.ts	A	grew	2021	2025	4	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	No exact same-file reduction or current-upstream owner was proven for all four added lines.
src/agents/subagent-announce-delivery.ts	A	grew	1982	1991	9	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Delivery ordering remains owner-local; no full-clearing extraction or replacement was proven.
src/agents/subagent-spawn.ts	A	grew	1744	1917	173	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Cycle-sensitive shared spawn owner; the frozen audit found no complete existing destination for +173.
src/agents/command/attempt-execution.ts	A	grew	1427	1775	348	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Turn-one callbacks and scheduling close over upstream attempt state; a helper move does not clear the host violation.
src/auto-reply/reply/get-reply-run.ts	A	grew	1699	1710	11	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	No exact safe reduction or existing owner clears the complete +11 overlay.
src/state/openclaw-state-db.ts	A	grew	1671	1672	1	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	One added line still grows an oversized shared owner; no exact replacement was proven.
src/agents/system-prompt.ts	A	grew	1444	1615	171	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Prompt ordering is shared upstream policy; no complete topology-safe destination clears +171.
src/agents/embedded-agent-subscribe.handlers.messages.ts	A	grew	1507	1568	61	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared message projection owner; no exact full-clearing move or same-file replacement was proven.
src/infra/diagnostic-events.ts	A	grew	1476	1531	55	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared diagnostic contract surface; no complete bounded extraction clears +55.
src/logging/diagnostic.ts	A	grew	1409	1525	116	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared diagnostic runtime; no existing owner or exact same-file reduction clears the full overlay.
extensions/codex/src/app-server/dynamic-tools.ts	A	grew	1516	1524	8	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	This exact new-policy row replaces state-migrations.ts in the historical inventory; direct Codex protocol evidence does not establish an eight-line safe reduction or new owner.
packages/agent-core/src/agent-loop.ts	A	grew	1128	1446	318	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	The frozen audit routes loop policy to existing upstream ownership and rejects a second fork-only agent-core policy module.
src/auto-reply/continuation/delegate-dispatch.ts	B	new-file	-	1425	1425	cae29a0: absent; feature-owned module remains coherent	policy-induced shared-surface blocker	Frozen class-B review says dispatch ownership must remain whole; long-file status alone is not a refactor reason.
src/agents/agent-hooks/compaction-safeguard.ts	A	grew	1364	1372	8	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared compaction hook owner; no exact full-clearing reduction was proven.
src/auto-reply/reply/queue/drain.ts	A	grew	1368	1370	2	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Queue ordering is owner-local; no exact replacement was proven for both added lines.
src/tui/embedded-backend.ts	A	grew	1331	1335	4	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared TUI backend; no complete bounded destination or safe same-file replacement was proven.
extensions/codex/src/app-server/side-question.ts	A	grew	1324	1327	3	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Codex app-server owner remains shared; no exact three-line replacement or existing destination was proven.
src/auto-reply/continuation/delegate-store.ts	B	new-file	-	1319	1319	cae29a0: absent; feature-owned module remains coherent	policy-induced shared-surface blocker	Frozen class-B review keeps the durable delegate store as one owner; size alone does not qualify a split.
src/auto-reply/continuation/work-dispatch.ts	B	new-file	-	1316	1316	cae29a0: absent; feature-owned module remains coherent	policy-induced shared-surface blocker	Frozen class-B review keeps work dispatch whole; no ten-gate extraction passed.
extensions/codex/src/app-server/computer-use.ts	A	grew	1263	1264	1	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	One added line still grows an oversized owner; no exact replacement was proven.
src/status/status-message.ts	A	grew	1160	1218	58	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared status rendering owner; no complete topology-safe extraction clears +58.
src/agents/agent-tools.ts	A	grew	1192	1214	22	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared tool assembly owner; no full-clearing current-upstream destination was proven.
packages/agent-core/src/harness/agent-harness.ts	A	grew	1197	1201	4	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared harness implementation; no exact safe reduction clears all four lines.
src/flows/doctor-core-checks.runtime.ts	A	grew	1173	1177	4	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Doctor ownership remains shared; no complete extraction or exact replacement was proven.
src/auto-reply/reply/get-reply.ts	A	grew	1143	1146	3	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared reply entry point; no exact safe reduction clears the full delta.
src/auto-reply/reply/post-compaction-delegate-dispatch.ts	B	new-file	-	1090	1090	cae29a0: absent; feature-owned module remains coherent	policy-induced shared-surface blocker	Frozen class-B review identifies this as the live dispatch owner and rejects splitting it merely for size.
src/agents/embedded-agent-runner/compact.hooks.harness.ts	A	grew	1065	1082	17	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared compaction harness; no exact full-clearing extraction was proven.
src/infra/continuation-tracer.ts	B	new-file	-	1067	1067	cae29a0: absent; feature-owned module remains coherent	policy-induced shared-surface blocker	Frozen class-B review keeps tracer lifecycle and propagation in one owner; no ten-gate split passed.
src/agents/subagent-registry-run-manager.ts	A	grew	1043	1063	20	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared run manager; no exact same-file reduction or complete owner mapping clears +20.
src/agents/embedded-agent-runner/run.overflow-compaction.harness.ts	A	grew	953	954	1	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	One added line still grows the oversized harness; no exact replacement was proven.
extensions/codex/src/app-server/dynamic-tool-build.ts	A	grew	936	939	3	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared Codex dynamic-tool owner; no exact full-clearing replacement was proven.
src/auto-reply/continuation/work-store.ts	B	new-file	-	932	932	cae29a0: absent; feature-owned module remains coherent	policy-induced shared-surface blocker	Frozen class-B review keeps the durable work store whole; size alone is insufficient.
src/config/sessions/types.ts	A	grew	810	853	43	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared public session type surface; no complete bounded owner clears +43.
src/tasks/task-flow-registry.ts	A	grew	830	841	11	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared task-flow registry; no exact same-file reduction or current destination was proven.
packages/agent-core/src/harness/types.ts	A	grew	836	838	2	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared harness type surface; no exact two-line replacement was proven.
src/logging/diagnostic-stability.ts	A	grew	791	837	46	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared diagnostic stabilization owner; no complete topology-safe extraction clears +46.
src/process/command-queue.ts	A	grew	700	812	112	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared queue owner; no exact existing destination or safe same-file reduction clears the complete overlay.
src/agents/openclaw-tools.ts	A	grew	706	800	94	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared tool registry; no complete bounded extraction passed the frozen gates.
scripts/protocol-gen-swift.ts	A	grew	737	741	4	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared protocol generator; no exact safe replacement clears all four added lines.
src/status/status-text.ts	A	grew	666	713	47	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared text rendering owner; no complete topology-safe destination clears +47.
src/gateway/server-restart-sentinel.ts	A	grew	674	704	30	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared Gateway lifecycle owner; no exact bounded extraction clears the full delta.
src/agents/tool-display-config.ts	A	grew	665	680	15	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared tool presentation config; no complete existing destination or exact replacement was proven.
src/config/types.agent-defaults.ts	A	grew	606	671	65	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared exported config contract; no complete topology-safe owner mapping clears +65.
src/auto-reply/tokens.ts	A	crossed-limit	332	644	312	cae29a0: tokens restored to 332; continuation/signal.ts absent	natural bounded extraction	Move the complete 312-line continuation token/type/parser/stripper family to existing candidate owner continuation/signal.ts; projected destination 457 and host 332, with no re-export or cycle.
src/infra/http-body.ts	A	grew	604	607	3	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared HTTP parsing owner; no exact three-line replacement was proven.
src/agents/cli-runner/helpers.ts	A	grew	596	598	2	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared CLI helper owner; no exact full-clearing replacement was proven.
tsdown.config.ts	A	grew	591	598	7	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared build configuration; no exact removable/replaced bytes clear all seven lines.
src/infra/outbound/message.ts	A	grew	594	596	2	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared outbound message owner; no exact two-line replacement was proven.
extensions/codex/src/app-server/dynamic-tool-execution.ts	A	grew	583	586	3	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared Codex execution owner; no exact same-file reduction or current destination clears +3.
src/agents/subagent-registry-queries.ts	A	grew	532	580	48	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared registry query owner; no complete topology-safe extraction clears +48.
src/agents/agent-tools.policy.ts	A	grew	530	535	5	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	Shared tool policy owner; no exact replacement clears all five lines.
src/auto-reply/reply/no-op-rearm-guard.ts	B	new-file	-	526	526	cae29a0: absent; feature-owned module remains coherent	policy-induced shared-surface blocker	Frozen class-B review keeps the 526-line guard whole; a six-line size reduction alone has no qualified owner boundary.
src/agents/shell-snapshot.ts	A	grew	503	504	1	cae29a0: present; no full-clearing destination verified	policy-induced shared-surface blocker	One added line still grows an oversized shared owner; no exact replacement was proven.
